yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagiNAO,nipples,pregNAOnt,wgt,tag,note2,ltag,note3,note5
1990,1,143,1,1,75,681232.162,3535244.319,OL,M,,,,,35,1162,,0,,
1988,12,129,1,1,75,681232.162,3535244.319,DM,F,,,,,42,7303,,0,,
1988,3,120,1,1,75,681232.162,3535244.319,DM,M,,,,,46,7523,,0,,
1989,6,135,1,1,75,681232.162,3535244.319,PE,M,,,,,18,8762,,0,,
1990,6,148,1,1,75,681232.162,3535244.319,DM,M,,,,,43,1125,,0,,
1989,5,134,1,1,75,681232.162,3535244.319,DO,F,,,,,39,8674,,0,,
1987,7,112,1,1,75,681232.162,3535244.319,NAO,F,,,E,,118,7660,,0,,
1989,11,140,1,1,75,681232.162,3535244.319,DO,F,,,,,52,8678,,0,,
1989,4,133,1,1,75,681232.162,3535244.319,DO,M,,,,,54,8797,,0,,
1987,7,113,1,1,75,681232.162,3535244.319,NAO,F,,,,,139,7660,,0,,
1994,4,194,1,1,75,681232.162,3535244.319,DM,M,,,,,44,159479,*,0,,
1995,2,204,1,1,75,681232.162,3535244.319,DM,M,,,,,46,4E19D2,*,124,,
1994,12,202,1,1,75,681232.162,3535244.319,DM,M,,,,,48,195057,,0,,
1992,7,173,1,1,75,681232.162,3535244.319,OL,M,,,,,35,2349,,0,,
1991,10,164,1,1,75,681232.162,3535244.319,DO,M,,,,,59,1431,,1431,,
1993,11,189,1,1,75,681232.162,3535244.319,DM,M,,,,,47,195057,,0,,
1992,7,174,1,1,75,681232.162,3535244.319,OL,M,,,,,38,2338,,0,,
1992,5,172,1,1,75,681232.162,3535244.319,DO,F,,S,,,52,2270,,0,,
2008,2,357,1,1,75,681232.162,3535244.319,DO,F,,S,,,57,1F3219,,,,
2008,6,361,1,1,75,681232.162,3535244.319,DO,F,,,,,40,3F5F76,,,,
2008,4,359,1,1,75,681232.162,3535244.319,DO,M,,,,,52,5736CA,*,,,
2009,1,369,1,1,75,681232.162,3535244.319,DO,F,,,E,,57,4C4514,*,,,
2007,11,354,1,1,75,681232.162,3535244.319,OT,F,,,,,17,21004B,*,,,
2000,12,271,1,1,75,681232.162,3535244.319,DO,M,,,,,52,425A73,,0,,
2001,1,272,1,1,75,681232.162,3535244.319,DO,M,,,,,53,425A73,,0,,
2002,7,290,1,1,75,681232.162,3535244.319,PP,F,,,,,15,7B425F,*,0,,
2001,9,280,1,1,75,681232.162,3535244.319,PB,F,,,,,26,3D1E79,*,0,,
2002,6,289,1,1,75,681232.162,3535244.319,PB,F,,,,,29,3D1E79,,0,,
2002,5,288,1,1,75,681232.162,3535244.319,PB,F,J,,,,25,3D1E79,,0,,
1995,9,212,1,1,75,681232.162,3535244.319,PP,F,,,,,17,4DAB9C,,0,,
1995,8,211,1,1,75,681232.162,3535244.319,PP,F,J,,,,16,4DAB9C,*,0,,
1996,12,227,1,1,75,681232.162,3535244.319,DM,F,,,,,41,700DF6,*,0,,
1997,6,232,1,1,75,681232.162,3535244.319,PB,M,,,,,37,8002PB,*,0,,
1997,4,230,1,1,75,681232.162,3535244.319,DO,F,,,B,,56,2A66BF,,0,,
2000,6,265,1,1,75,681232.162,3535244.319,PP,F,,,E,,20,6012PP,,0,,
1997,7,233,1,1,75,681232.162,3535244.319,PP,F,,,,,13,6011PP,*,0,,
2000,4,264,1,1,75,681232.162,3535244.319,PP,M,,,,,21,0120PP,,0,,
1997,12,238,1,1,75,681232.162,3535244.319,DO,F,,,,,45,2A66BF,,0,,
1978,5,11,1,1,75,681232.162,3535244.319,DM,F,,,,,39,4823,,4672,,
1979,11,29,1,1,75,681232.162,3535244.319,OL,M,,,,,41,2084,,0,,
1983,1,64,1,1,75,681232.162,3535244.319,DM,M,,,,,41,3897,,0,,
1983,3,66,1,1,75,681232.162,3535244.319,DM,M,,,,,45,3456,,0,,
1983,2,65,1,1,75,681232.162,3535244.319,DM,M,,,,,48,3566,,0,,
1980,5,34,1,1,75,681232.162,3535244.319,PP,F,,,,P,19,5100,,0,,
1982,2,55,1,1,75,681232.162,3535244.319,OL,F,,S,,,36,3436,,0,,
1984,9,83,1,1,75,681232.162,3535244.319,DM,M,,,,,47,5108,,0,,
1986,11,105,1,1,75,681232.162,3535244.319,DM,F,,,,,32,6807,,0,,
1984,2,76,1,1,75,681232.162,3535244.319,DM,M,,,,,37,5108,,0,,
1983,4,67,1,1,75,681232.162,3535244.319,DM,F,,,E,,37,3571,,0,,
1985,3,88,1,1,75,681232.162,3535244.319,DO,M,,,,,37,5916,,0,,
2010,7,386,1,1,76,681238.39,3535244.439,DO,F,,,E,,56,000943,,000991,,
2012,7,407,1,1,76,681238.39,3535244.439,PP,F,,,,P,18,,,,,
2012,6,406,1,1,76,681238.39,3535244.439,PP,F,,,,,17,7F3A54,*,,,
2011,12,400,1,1,76,681238.39,3535244.439,PP,M,,,,,17,0C4D23,,,,
2009,8,376,1,1,76,681238.39,3535244.439,DO,F,,,,,40,4C3146,,,,
2012,5,405,1,1,76,681238.39,3535244.439,PP,F,,,E,,22,344760,,,,
2012,12,412,1,1,76,681238.39,3535244.439,DM,F,,,,,48,000426,,000427,,
2005,6,324,1,1,76,681238.39,3535244.439,PP,M,J,,,,12,0F1A37,*,0,,
2004,11,318,1,1,76,681238.39,3535244.439,PP,M,,,,,18,63312C,,0,,
2006,11,342,1,1,76,681238.39,3535244.439,PP,M,,,,,17,485E11,*,0,,
2005,12,330,1,1,76,681238.39,3535244.439,DO,F,,S,,,54,5D6F2F,,0,,
2005,4,322,1,1,76,681238.39,3535244.439,PP,F,,,,P,19,0E5165,,0,,
2005,8,326,1,1,76,681238.39,3535244.439,PP,M,,,,,17,0F1A37,,0,,
2006,9,340,1,1,76,681238.39,3535244.439,PP,F,,,,,22,712E4E,*,0,,
2007,7,350,1,1,76,681238.39,3535244.439,PE,F,,,,,17,6C531B,*,,,
2007,8,351,1,1,76,681238.39,3535244.439,PB,M,,,,,30,337D1A,*,,,
2007,9,352,1,1,76,681238.39,3535244.439,PP,F,,,,,16,0D454D,*,,,
2007,5,348,1,1,76,681238.39,3535244.439,DO,M,,,,,56,675106,,,,
2002,12,294,1,1,76,681238.39,3535244.439,DO,F,,S,,,30,7F1835,*,0,,
2003,2,296,1,1,76,681238.39,3535244.439,DO,F,,S,E,,53,7F1835,,0,,
2003,11,306,1,1,76,681238.39,3535244.439,DO,F,,,,,48,7F1835,,0,,
2003,10,305,1,1,76,681238.39,3535244.439,PB,M,,,,,41,472E0F,,0,,
2003,6,301,1,1,76,681238.39,3535244.439,DO,F,,,,,49,7F1835,,0,,
2003,3,297,1,1,76,681238.39,3535244.439,DO,F,,,,,52,7F1835,,0,,
1987,7,113,1,1,76,681238.39,3535244.439,DM,M,,,,,46,7661,,7662,,
1990,5,147,1,1,76,681238.39,3535244.439,DO,M,,,,,48,1251,,0,,
1988,11,128,1,1,76,681238.39,3535244.439,OL,F,,,,,30,7499,,0,,
1987,9,115,1,1,76,681238.39,3535244.439,DM,M,,,,,53,6581,,0,,
1987,10,116,1,1,76,681238.39,3535244.439,DM,M,,,,,53,6581,,0,,
1991,12,166,1,1,76,681238.39,3535244.439,DO,M,,,,,58,1982,,0,,
1992,9,176,1,1,76,681238.39,3535244.439,DO,F,,,,,55,2270,,0,,
1991,2,156,1,1,76,681238.39,3535244.439,DM,M,,,,,46,1455,,1455,,
1991,6,160,1,1,76,681238.39,3535244.439,DO,M,,,,,56,1431,,0,,
1990,8,150,1,1,76,681238.39,3535244.439,DM,M,,,,,41,1125,,0,,
1994,10,200,1,1,76,681238.39,3535244.439,DM,F,,S,S,,45,0DFEB6,,0,,
1992,3,169,1,1,76,681238.39,3535244.439,DO,F,,S,,,47,1849,,0,,
1994,4,194,1,1,76,681238.39,3535244.439,DM,M,,,,,49,195057,,0,,
1990,11,153,1,1,76,681238.39,3535244.439,DM,M,,,,,45,1455,,1455,,E
1990,12,154,1,1,76,681238.39,3535244.439,DM,M,,,,,45,1455,,1455,,
2007,11,354,1,1,76,681238.39,3535244.439,DO,M,,,,,55,675106,,,,
2008,8,364,1,1,76,681238.39,3535244.439,PP,F,,,,,14,37060B,,,,
2008,4,359,1,1,76,681238.39,3535244.439,DO,F,,,,,46,3F5F76,,,,
2008,2,357,1,1,76,681238.39,3535244.439,PB,M,,,,,45,331542,*,,,
2008,1,356,1,1,76,681238.39,3535244.439,RM,M,,,,,10,1B6935,*,,,
2008,3,358,1,1,76,681238.39,3535244.439,PM,M,,,,,26,022B13,,,,
2009,6,374,1,1,76,681238.39,3535244.439,DO,F,,,,,37,4C3146,,,,
2002,5,288,1,1,76,681238.39,3535244.439,PP,F,,,R,,20,735817,,0,,
2000,8,268,1,1,76,681238.39,3535244.439,PP,F,,,E,,14,7142PP,,0,,
2000,7,266,1,1,76,681238.39,3535244.439,DO,F,,,E,,53,357657,*,0,,
2001,6,277,1,1,76,681238.39,3535244.439,DO,M,J,,,,26,390C64,*,0,,
2001,10,281,1,1,76,681238.39,3535244.439,DO,M,,,,,58,390C64,,0,,
2002,11,293,1,1,76,681238.39,3535244.439,OT,F,,,E,,28,463239,*,0,,
1996,4,219,1,1,76,681238.39,3535244.439,PF,F,,,,,7,968CE3,*,0,,
1996,11,226,1,1,76,681238.39,3535244.439,DO,F,,,,,45,14C2FB,*,0,,
1995,6,209,1,1,76,681238.39,3535244.439,DO,M,,,,,49,4DEABF,,0,,
1996,1,216,1,1,76,681238.39,3535244.439,OT,M,,,,,25,100,*,0,,
1997,7,234,1,1,76,681238.39,3535244.439,PP,M,,,,,15,6011PP,,0,,
1997,10,236,1,1,76,681238.39,3535244.439,NAO,F,,,,,122,2972,,0,,
1998,8,246,1,1,76,681238.39,3535244.439,DO,M,,,,,52,2673,,0,,
2000,4,264,1,1,76,681238.39,3535244.439,PP,M,,,,,14,5123PP,,0,,
1997,9,235,1,1,76,681238.39,3535244.439,OT,M,,,,,23,3000,*,0,,
1999,12,260,1,1,76,681238.39,3535244.439,PB,F,,,E,,31,,,0,,D
1999,4,254,1,1,76,681238.39,3535244.439,DO,F,,,E,P,73,489,*,0,,
1998,7,245,1,1,76,681238.39,3535244.439,DO,M,,,,,42,0,,0,,
1998,10,248,1,1,76,681238.39,3535244.439,DO,M,,,,,57,8010DO,,0,,
2000,3,263,1,1,76,681238.39,3535244.439,DO,M,,,,,46,139,*,0,,
1981,6,46,1,1,76,681238.39,3535244.439,DO,M,J,,,,,2941,,0,,
1982,2,55,1,1,76,681238.39,3535244.439,DM,M,,,,,41,4938,,0,,
1982,9,62,1,1,76,681238.39,3535244.439,OT,M,,,,,28,4952,,0,,
1983,3,66,1,1,76,681238.39,3535244.439,DM,M,,,,,52,3566,,0,,
1983,2,65,1,1,76,681238.39,3535244.439,DM,F,,S,,,37,3160,,0,,
1982,11,63,1,1,76,681238.39,3535244.439,DM,M,,,,,48,3566,,0,,
1978,10,16,1,1,76,681238.39,3535244.439,DM,F,,,,,51,1592,,0,,
1983,8,71,1,1,76,681238.39,3535244.439,DM,M,,,,,30,5108,,0,,
1983,12,75,1,1,76,681238.39,3535244.439,DM,M,,,,,39,5108,,0,,
1987,2,107,1,1,76,681238.39,3535244.439,DM,M,,,,,54,793,,0,,
1985,3,88,1,1,76,681238.39,3535244.439,DM,M,,,,,41,5108,,0,,
1983,5,68,1,1,76,681238.39,3535244.439,DM,M,J,,,,26,5299,,0,,
1983,4,67,1,1,76,681238.39,3535244.439,DM,M,,,,,49,3566,,0,,
1984,12,85,1,1,76,681238.39,3535244.439,DM,M,,,,,51,5108,,0,,
2012,8,408,1,1,77,681244.686,3535244.516,PP,F,,,,,19,,,,,
2011,5,393,1,1,77,681244.686,3535244.516,PP,M,,,,,22,000089,*,,,
2012,12,412,1,1,77,681244.686,3535244.516,OT,M,,,,,22,000563,,000562,,
2005,9,327,1,1,77,681244.686,3535244.516,PP,F,,,,,15,0A2641,*,0,,
2004,11,318,1,1,77,681244.686,3535244.516,OT,M,,,,,25,10056A,,0,,
2005,1,320,1,1,77,681244.686,3535244.516,DO,M,J,,,,38,,,0,,D
2006,10,341,1,1,77,681244.686,3535244.516,OT,F,,,E,,31,633040,,0,,
2006,11,342,1,1,77,681244.686,3535244.516,PP,M,,,,,18,495657,*,0,,
2007,4,347,1,1,77,681244.686,3535244.516,NAO,F,,,E,,242,2A1024,,,,
2007,7,350,1,1,77,681244.686,3535244.516,PP,M,,,,,9,5D6346,*,,,
2007,3,346,1,1,77,681244.686,3535244.516,PP,M,,,,,21,2C6A06,*,,,
2006,12,343,1,1,77,681244.686,3535244.516,SH,M,,,,,54,0,,0,,
2007,6,349,1,1,77,681244.686,3535244.516,PP,M,,,,,22,2F2E7F,,,,
2007,8,351,1,1,77,681244.686,3535244.516,PB,M,,,,,31,05581B,*,,,
2007,10,353,1,1,77,681244.686,3535244.516,PB,F,,,,,32,5B6632,,,,
2007,1,344,1,1,77,681244.686,3535244.516,PB,M,,,,,41,72066B,*,,,
2003,11,306,1,1,77,681244.686,3535244.516,NAO,F,,,E,,174,709,,0,,
2003,3,298,1,1,77,681244.686,3535244.516,DO,F,,,,,30,2B521E,,0,,
2002,12,294,1,1,77,681244.686,3535244.516,NAO,F,,,E,,196,709,*,0,,
2004,5,312,1,1,77,681244.686,3535244.516,PP,M,,,,,17,3042,*,0,,
1988,9,126,1,1,77,681244.686,3535244.516,NAO,M,,,,,155,7302,,0,,
1989,7,137,1,1,77,681244.686,3535244.516,PP,M,,,,,18,6010,,0,,
1987,11,117,1,1,77,681244.686,3535244.516,DM,M,,,,,52,6581,,0,,
1989,3,132,1,1,77,681244.686,3535244.516,DM,M,,,,,48,7523,,0,,
1989,1,130,1,1,77,681244.686,3535244.516,PM,M,,,,,26,7447,,0,,
1995,4,207,1,1,77,681244.686,3535244.516,DO,M,,,,,50,4DEABF,*,0,,
1992,4,170,1,1,77,681244.686,3535244.516,DO,F,,,,,55,1849,,0,,D
1991,2,156,1,1,77,681244.686,3535244.516,DO,F,,S,,,50,1505,,0,,
1991,12,166,1,1,77,681244.686,3535244.516,DO,F,J,,,,47,1849,,0,,
2007,12,355,1,1,77,681244.686,3535244.516,PM,F,,,,,20,,,,,
2008,4,359,1,1,77,681244.686,3535244.516,PP,M,,,,,24,2F2E7F,,,,
2008,5,360,1,1,77,681244.686,3535244.516,PB,M,,,,,40,331542,,,,
2008,3,358,1,1,77,681244.686,3535244.516,RM,M,,,,,12,592941,*,,,
2008,1,356,1,1,77,681244.686,3535244.516,DO,M,,,,,52,42016D,,,,
2007,11,354,1,1,77,681244.686,3535244.516,DO,F,,,,,45,17602B,*,,,
2009,1,369,1,1,77,681244.686,3535244.516,OT,F,,,,,25,222171,*,,,
2002,7,290,1,1,77,681244.686,3535244.516,DO,F,,,,,40,413973,,0,,
2001,4,275,1,1,77,681244.686,3535244.516,DO,M,,,,,,425A73,,0,,E
2001,8,279,1,1,77,681244.686,3535244.516,DO,F,,P,E,,54,452123,,0,,
2002,4,287,1,1,77,681244.686,3535244.516,PP,M,,,,,21,090C76,,0,,
2000,7,266,1,1,77,681244.686,3535244.516,PP,F,,,,,16,281020,*,0,,
2002,6,289,1,1,77,681244.686,3535244.516,DO,F,,,,,39,413973,,0,,
1997,6,232,1,1,77,681244.686,3535244.516,DO,F,,,E,,47,2A66BF,,0,,
1996,6,221,1,1,77,681244.686,3535244.516,DO,M,,,,,47,2BB54A,*,0,,
1995,10,213,1,1,77,681244.686,3535244.516,PE,F,,,,,17,4D2852,*,0,,
1996,12,227,1,1,77,681244.686,3535244.516,DO,F,,,,,46,1432FB,,0,,
1997,4,230,1,1,77,681244.686,3535244.516,DO,M,,,,,36,0,,0,,D
1997,5,231,1,1,77,681244.686,3535244.516,PP,M,,,,,21,FBBD6E,*,0,,
1997,11,237,1,1,77,681244.686,3535244.516,PB,F,,,,,30,7011PB,*,0,,
1998,11,249,1,1,77,681244.686,3535244.516,DO,M,,,,,58,8004DO,,0,,
2000,3,263,1,1,77,681244.686,3535244.516,PP,M,,,,,17,5123PP,,0,,
1982,11,63,1,1,77,681244.686,3535244.516,DM,F,,,,,35,3160,,0,,
1979,9,27,1,1,77,681244.686,3535244.516,PP,F,,,,,14,5100,,0,,
1980,4,33,1,1,77,681244.686,3535244.516,DM,M,,,,,51,1670,,0,,
1982,6,59,1,1,77,681244.686,3535244.516,DM,M,,,,,46,3566,,0,,
1982,8,61,1,1,77,681244.686,3535244.516,DM,M,,,,,47,3566,,0,,
1987,5,111,1,1,77,681244.686,3535244.516,DM,M,,,,,54,7080,,7080,,
1985,12,96,1,1,77,681244.686,3535244.516,DM,M,,,,,47,6299,,6299,,
1983,5,68,1,1,77,681244.686,3535244.516,DM,M,,,,,52,3566,,0,,
1986,12,106,1,1,77,681244.686,3535244.516,DM,M,,,,,58,6793,,0,,
1987,4,110,1,1,77,681244.686,3535244.516,DM,M,,,,,52,7080,,7080,,
1983,4,67,1,1,77,681244.686,3535244.516,DM,F,,,R,,42,3160,,0,,
1985,3,88,1,1,77,681244.686,3535244.516,DM,M,,,,,40,5713,,0,,
2012,8,408,1,2,11,681282.383,3535282.931,PP,F,,,,,20,447D1C,,,,
2010,7,386,1,2,11,681282.383,3535282.931,OT,M,,,,,23,000866,*,000862,*,
2009,11,379,1,2,11,681282.383,3535282.931,PB,F,,,,,,200666,*,,,
2011,10,399,1,2,11,681282.383,3535282.931,DM,M,,,,,40,000292,*,000293,*,
2012,11,411,1,2,11,681282.383,3535282.931,DM,F,,,,,28,000546,*,001014,*,
2012,12,412,1,2,11,681282.383,3535282.931,DM,F,,,,,35,000546,,001014,*,
2006,9,340,1,2,11,681282.383,3535282.931,PP,F,,,E,P,20,3C2260,*,0,,
2004,11,318,1,2,11,681282.383,3535282.931,PB,F,,,,,28,70200A,,0,,
2006,11,342,1,2,11,681282.383,3535282.931,PP,M,,,,,19,745B78,,0,,
2006,4,335,1,2,11,681282.383,3535282.931,DM,F,,,,,42,7B7931,,0,,
2006,5,336,1,2,11,681282.383,3535282.931,DM,M,,,,,50,4F077C,,0,,
2007,1,344,1,2,11,681282.383,3535282.931,PP,M,,,,,16,6B1D1B,,,,
2007,10,353,1,2,11,681282.383,3535282.931,PP,M,,,,,16,6A7957,*,,,
2007,9,352,1,2,11,681282.383,3535282.931,DO,F,,,,,49,39030E,,,,
2007,3,346,1,2,11,681282.383,3535282.931,PB,F,,,,,79,5B060A,*,,,
2007,5,348,1,2,11,681282.383,3535282.931,NAO,F,,,,,154,,,,,
2007,8,351,1,2,11,681282.383,3535282.931,DO,F,,,,,58,39030E,,,,
2007,4,347,1,2,11,681282.383,3535282.931,PB,F,,,E,,32,5B060A,,,,D
2002,12,294,1,2,11,681282.383,3535282.931,PB,M,,,,,41,170B2B,,0,,
2003,3,297,1,2,11,681282.383,3535282.931,OT,F,,,,,28,6C0F4A,,0,,
2004,3,310,1,2,11,681282.383,3535282.931,DM,F,,,B,,40,696901,,0,,
2003,5,300,1,2,11,681282.383,3535282.931,PP,F,J,,,,8,411323,*,0,,
1987,7,113,1,2,11,681282.383,3535282.931,PE,F,,,E,,24,7666,,0,,
1988,3,120,1,2,11,681282.383,3535282.931,DM,M,,,,,43,7253,,0,,
1988,2,119,1,2,11,681282.383,3535282.931,DM,F,,,,,40,6701,,7756,,
1990,3,145,1,2,11,681282.383,3535282.931,DM,F,,,E,,46,1220,,0,,
1991,8,162,1,2,11,681282.383,3535282.931,OT,F,,,E,,31,1917,,0,,
1993,12,190,1,2,11,681282.383,3535282.931,DM,M,,,,,48,195057,,0,,
1993,11,189,1,2,11,681282.383,3535282.931,OL,M,,,,,26,0D4830,*,0,,
1995,3,205,1,2,11,681282.383,3535282.931,DM,F,,S,,,49,1F5272,,0,,
1994,5,195,1,2,11,681282.383,3535282.931,DM,M,,,,,44,0D8945,,0,,
1991,6,160,1,2,11,681282.383,3535282.931,OT,F,,,E,,28,1554,,1554,,
2007,11,354,1,2,11,681282.383,3535282.931,DO,F,,,,,53,1C172D,,,,
2008,4,359,1,2,11,681282.383,3535282.931,DO,F,,,,,55,1C172D,,,,
2009,4,372,1,2,11,681282.383,3535282.931,DO,M,,,,,49,272C3C,*,,,
2008,5,360,1,2,11,681282.383,3535282.931,DO,F,,,,,53,1C172D,,,,
2008,8,364,1,2,11,681282.383,3535282.931,PB,M,,,,,32,09322B,,,,
2009,1,369,1,2,11,681282.383,3535282.931,OT,M,,,,,24,2C6073,*,,,
2009,5,373,1,2,11,681282.383,3535282.931,PP,M,,,,,17,5A4F5E,,,,
2008,2,357,1,2,11,681282.383,3535282.931,DO,M,,,,,45,550673,,,,
2008,6,361,1,2,11,681282.383,3535282.931,DO,F,,,E,,55,1C172D,,,,
2007,12,355,1,2,11,681282.383,3535282.931,DO,F,,,,,53,1C172D,,,,
2002,1,284,1,2,11,681282.383,3535282.931,PB,M,,,,,47,6C6A09,,0,,
2000,7,266,1,2,11,681282.383,3535282.931,PP,F,,,E,,16,6B736D,*,0,,
2001,9,280,1,2,11,681282.383,3535282.931,PB,M,,,,,40,6C6A09,*,0,,
2002,6,289,1,2,11,681282.383,3535282.931,PB,M,,,,,32,170B2B,*,0,,
2002,4,287,1,2,11,681282.383,3535282.931,PB,M,,,,,42,6C6A09,,0,,
2002,3,286,1,2,11,681282.383,3535282.931,PP,M,,,,,20,215F14,,0,,
2001,12,283,1,2,11,681282.383,3535282.931,DM,M,,,,,48,772,,0,,
2000,12,271,1,2,11,681282.383,3535282.931,PB,M,,,,,38,7223PB,,0,,
2001,10,281,1,2,11,681282.383,3535282.931,PP,M,,,,,16,215F14,*,0,,
2002,7,290,1,2,11,681282.383,3535282.931,PB,M,,,,,35,093F1C,*,0,,
1996,2,217,1,2,11,681282.383,3535282.931,DM,F,,,E,,55,139474,,0,,
1995,10,213,1,2,11,681282.383,3535282.931,PP,F,,,,,14,1F2EDC,,0,,
1996,10,225,1,2,11,681282.383,3535282.931,DM,M,,,,,45,762B83,,0,,
1997,2,228,1,2,11,681282.383,3535282.931,PB,M,,,,,32,62939F,,0,,
1996,7,222,1,2,11,681282.383,3535282.931,PP,M,,,,,17,70084C,*,0,,
1996,4,219,1,2,11,681282.383,3535282.931,DM,F,,S,B,,47,1E9474,*,0,,
1997,3,229,1,2,11,681282.383,3535282.931,DO,M,,,,,55,7032C1,,0,,
1995,9,212,1,2,11,681282.383,3535282.931,PP,F,J,,,,11,4D7218,*,0,,
1997,12,238,1,2,11,681282.383,3535282.931,DM,M,,,,,45,762B83,,0,,
2000,4,264,1,2,11,681282.383,3535282.931,PB,M,,,,,41,8001PB,,0,,
1999,10,258,1,2,11,681282.383,3535282.931,PP,F,,,E,,17,0020PP,,0,,
1997,9,235,1,2,11,681282.383,3535282.931,DM,M,,,,,49,762B83,,0,,
1978,10,16,1,2,11,681282.383,3535282.931,PF,M,,,,,6,14,,0,,
1980,1,30,1,2,11,681282.383,3535282.931,DM,F,,S,,,37,-1,,0,,
1979,2,20,1,2,11,681282.383,3535282.931,DM,F,,,,,44,1615,,0,,
1978,3,9,1,2,11,681282.383,3535282.931,PF,F,,,,,7,10,,0,,
1986,3,97,1,2,11,681282.383,3535282.931,DM,M,,,,,44,6035,,0,,
1986,7,101,1,2,11,681282.383,3535282.931,DM,M,,,,,47,6035,,0,,
1987,7,112,1,2,11,681282.383,3535282.931,OL,M,,,,,32,6422,,0,,
1986,5,99,1,2,11,681282.383,3535282.931,DM,M,,,,,44,6035,,0,,
1986,8,102,1,2,11,681282.383,3535282.931,DM,M,,,,,46,6035,,0,,
1986,6,100,1,2,11,681282.383,3535282.931,DM,M,,,,,47,6035,,0,,
1987,2,107,1,2,11,681282.383,3535282.931,DM,M,,,,,45,6035,,0,,
1985,5,89,1,2,11,681282.383,3535282.931,DM,M,,,,,33,6035,,0,,
1983,4,67,1,2,11,681282.383,3535282.931,DM,M,,,,,45,3456,,0,,
1986,9,103,1,2,11,681282.383,3535282.931,DM,M,,,,,46,6035,,0,,
1985,11,95,1,2,11,681282.383,3535282.931,DM,M,,,,,43,6035,,0,,
1987,5,111,1,2,11,681282.383,3535282.931,OL,F,,,E,,30,7619,,0,,
1986,11,105,1,2,11,681282.383,3535282.931,DM,F,,,E,,46,6701,,0,,
1987,4,109,1,2,11,681282.383,3535282.931,DM,M,,,,,46,6035,,0,,
1987,3,108,1,2,11,681282.383,3535282.931,DM,M,,,,,47,6035,,0,,
1986,12,106,1,2,11,681282.383,3535282.931,DM,F,,,,,44,6701,,0,,
1985,12,96,1,2,11,681282.383,3535282.931,DM,M,,,,,44,6035,,0,,
1986,10,104,1,2,11,681282.383,3535282.931,DM,M,,,,,53,6035,,0,,
2012,9,409,1,2,12,681288.653,3535283.029,PP,F,,,E,,20,447D1C,,,,
2012,1,401,1,2,12,681288.653,3535283.029,DM,M,,,,,46,000292,,000293,,
2012,10,410,1,2,12,681288.653,3535283.029,PP,M,,,,,,00B11B,*,,,E
2010,9,387,1,2,12,681288.653,3535283.029,PP,F,,,E,,20,2B2B40,*,,,
2012,7,407,1,2,12,681288.653,3535283.029,PP,F,,,E,P,21,447D1C,,,,
2006,1,331,1,2,12,681288.653,3535283.029,DM,F,,,,,40,7B7931,,,,
2006,4,335,1,2,12,681288.653,3535283.029,DM,M,J,,,,18,4D1226,*,0,,
2006,3,334,1,2,12,681288.653,3535283.029,DM,F,,S,,,40,7B7931,,0,,
2005,9,328,1,2,12,681288.653,3535283.029,PB,F,,,,,30,093D1D,,0,,
2007,7,350,1,2,12,681288.653,3535283.029,DO,F,,S,,,54,39030E,,,,
2007,6,349,1,2,12,681288.653,3535283.029,PB,F,,,E,,31,4C754F,,,,
2006,12,343,1,2,12,681288.653,3535283.029,PP,F,,,,,19,140F70,,0,,
2007,8,351,1,2,12,681288.653,3535283.029,DM,M,,,,,48,537874,,,,
2007,10,353,1,2,12,681288.653,3535283.029,DM,M,,,,,51,537874,,,,
2007,5,348,1,2,12,681288.653,3535283.029,PB,F,,,E,,35,4C754F,*,,,
2003,2,296,1,2,12,681288.653,3535283.029,OT,M,,,,,21,4A0051,,0,,
2003,3,297,1,2,12,681288.653,3535283.029,PE,M,,,,,23,2B635E,*,0,,
1988,1,118,1,2,12,681288.653,3535283.029,DM,M,,,,,38,7789,,0,,
1993,4,182,1,2,12,681288.653,3535283.029,DO,F,,,E,,54,1704A0,,0,,
1991,1,155,1,2,12,681288.653,3535283.029,DM,F,,S,,,48,1220,,0,,
1990,12,154,1,2,12,681288.653,3535283.029,DO,F,,,,,46,8781,,0,,
1992,1,167,1,2,12,681288.653,3535283.029,DM,M,,,,,42,2077,,0,,
1993,8,186,1,2,12,681288.653,3535283.029,PF,,,,,,,,,0,,E
2008,6,362,1,2,12,681288.653,3535283.029,PB,M,,,,,37,2D4C14,,,,
2008,3,358,1,2,12,681288.653,3535283.029,DO,F,,,,,60,1C172D,,,,
2000,9,269,1,2,12,681288.653,3535283.029,PB,M,,,,,31,65449,,0,,
2002,10,292,1,2,12,681288.653,3535283.029,PB,M,,,,,40,170B2B,*,0,,
2001,12,283,1,2,12,681288.653,3535283.029,PB,M,,,,,43,6C6A09,,0,,
1997,3,229,1,2,12,681288.653,3535283.029,DM,M,,,,,51,2661,*,0,,
1996,12,227,1,2,12,681288.653,3535283.029,PB,M,,,,,34,62939F,,0,,
1997,4,230,1,2,12,681288.653,3535283.029,DM,M,,,,,43,762B83,,0,,
1995,12,215,1,2,12,681288.653,3535283.029,DM,F,,,E,,51,1E9474,,0,,
1999,3,253,1,2,12,681288.653,3535283.029,DM,M,J,,,,27,430,*,0,,
1999,4,254,1,2,12,681288.653,3535283.029,DO,M,,,,,51,424,,0,,
2000,2,262,1,2,12,681288.653,3535283.029,PP,M,,,,,17,6051PP,*,0,,
